K, H, W, C, R, TK, TH, TW, BK, BH, BW, CMult, Time 
32, 108, 108, 3, 3, 1, 1, 27, 32, 1, 1, 1,  0.01357
32, 108, 108, 3, 3, 1, 1, 18, 32, 1, 1, 1,  0.01379
32, 108, 108, 3, 3, 1, 1, 12, 32, 1, 1, 1,  0.013905
32, 108, 108, 3, 3, 1, 2, 12, 32, 1, 1, 1,  0.01526
32, 108, 108, 3, 3, 1, 2, 9, 32, 1, 1, 1,  0.016845
32, 108, 108, 3, 3, 1, 2, 6, 32, 1, 1, 1,  0.01738
32, 108, 108, 3, 3, 1, 1, 9, 32, 1, 1, 1,  0.020205
32, 108, 108, 3, 3, 1, 1, 6, 32, 1, 1, 1,  0.022835
32, 108, 108, 3, 3, 1, 2, 4, 32, 1, 1, 1,  0.031885
32, 108, 108, 3, 3, 1, 2, 3, 32, 1, 1, 1,  0.03256
32, 108, 108, 3, 3, 1, 1, 4, 32, 1, 1, 1,  0.03453
32, 108, 108, 3, 3, 1, 1, 3, 32, 1, 1, 1,  0.038
32, 108, 108, 3, 3, 1, 2, 2, 32, 1, 1, 1,  0.044915
32, 108, 108, 3, 3, 1, 1, 2, 32, 1, 1, 1,  0.052275
32, 108, 108, 3, 3, 1, 1, 1, 32, 1, 1, 1,  0.088335
