K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
512,17,17,1024,1,8,1,17,32,1,1,8,0.16589
512,17,17,1024,1,4,1,1,32,1,1,32,0.85402
512,17,17,1024,1,1,1,17,32,1,1,1,0.75264
512,17,17,1024,1,1,1,1,32,1,1,8,1.31482
512,17,17,1024,1,2,1,1,32,1,1,16,0.85709
512,17,17,1024,1,2,1,17,32,1,1,16,0.08806
512,17,17,1024,1,8,1,1,32,1,1,4,0.31232
512,17,17,1024,1,1,1,1,32,1,1,4,1.33018
512,17,17,1024,1,4,1,17,32,1,1,16,0.08909
512,17,17,1024,1,8,1,17,32,1,1,4,0.28464
512,17,17,1024,1,2,1,1,32,1,1,4,0.72755
512,17,17,1024,1,2,1,1,32,1,1,8,0.77107
512,17,17,1024,1,1,1,1,32,1,1,32,1.604595
512,17,17,1024,1,8,1,1,32,1,1,32,0.67584
512,17,17,1024,1,2,1,17,32,1,1,8,0.13005
512,17,17,1024,1,2,1,17,32,1,1,1,0.83456
512,17,17,1024,1,1,1,17,32,1,1,8,0.1244
512,17,17,1024,1,4,1,17,32,1,1,1,0.7649
512,17,17,1024,1,8,1,1,32,1,1,8,0.366065
512,17,17,1024,1,16,1,1,32,1,1,1,1.07008
512,17,17,1024,1,8,1,17,32,1,1,16,0.111635
512,17,17,1024,1,2,1,1,32,1,1,1,0.68915
512,17,17,1024,1,4,1,17,32,1,1,8,0.12698
512,17,17,1024,1,1,1,1,32,1,1,16,1.40493
512,17,17,1024,1,8,1,17,32,1,1,32,0.1577
512,17,17,1024,1,1,1,17,32,1,1,2,0.3881
512,17,17,1024,1,4,1,17,32,1,1,2,0.39629
512,17,17,1024,1,2,1,1,32,1,1,2,0.710125
512,17,17,1024,1,8,1,1,32,1,1,1,0.8258399999999999
512,17,17,1024,1,1,1,1,32,1,1,1,1.32506
512,17,17,1024,1,2,1,17,32,1,1,4,0.22733
512,17,17,1024,1,1,1,1,32,1,1,2,1.33222
512,17,17,1024,1,4,1,1,32,1,1,1,0.830445
512,17,17,1024,1,4,1,1,32,1,1,2,0.48742
512,17,17,1024,1,16,1,1,32,1,1,2,0.65741
512,17,17,1024,1,1,1,17,32,1,1,32,0.14643
512,17,17,1024,1,4,1,1,32,1,1,4,0.50074
512,17,17,1024,1,16,1,1,32,1,1,32,0.8754850000000001
512,17,17,1024,1,16,1,1,32,1,1,4,0.50381
512,17,17,1024,1,2,1,17,32,1,1,32,0.10445
512,17,17,1024,1,4,1,17,32,1,1,4,0.21299
512,17,17,1024,1,8,1,1,32,1,1,2,0.45363
512,17,17,1024,1,2,1,1,32,1,1,32,1.08541
512,17,17,1024,1,16,1,1,32,1,1,8,0.5498700000000001
512,17,17,1024,1,8,1,17,32,1,1,2,0.52122
512,17,17,1024,1,4,1,1,32,1,1,8,0.56013
512,17,17,1024,1,1,1,17,32,1,1,16,0.13312
512,17,17,1024,1,1,1,17,32,1,1,4,0.21094
512,17,17,1024,1,2,1,17,32,1,1,2,0.42598
512,17,17,1024,1,4,1,1,32,1,1,16,0.670195
512,17,17,1024,1,16,1,1,32,1,1,16,0.6881250000000001
512,17,17,1024,1,4,1,17,32,1,1,32,0.11162
512,17,17,1024,1,8,1,1,32,1,1,16,0.49562
512,17,17,1024,1,8,1,17,32,1,1,1,0.99226
